NAME,AREA,CUISINES,RESTAURANT_TYPE,PRICE,RATING,VOTES,PRICE_CATEGORY,RATING_CATEGORY,POPULARITY_CATEGORY,WEIGHTED_RATING,VALUE_SCORE,SIMILARITY_SCORE,COMBINED_SCORE
Pallavi Veg Restaurant,Andheri,"Chinese,Street Food,North Indian,South Indian",Casual Dining,500,3.9,254.0,Budget,Good,Moderately Popular,3.81,7.62,0.38455807805019865,0.4360963532718616
Vaibhav Cafe & Veg Restaurant,Andheri,"South Indian,North Indian,Chinese",Casual Dining,400,3.9,160.0,Budget,Good,Moderately Popular,3.78,9.45,0.39262642659587066,0.4268906794582235
Classic,Andheri,"North Indian,Chinese,South Indian,Fast Food,Beverages",Casual Dining,500,3.8,311.0,Budget,Good,Moderately Popular,3.75,7.5,0.45207647125395967,0.41760898253515016
Karma Cafe,Andheri,"North Indian,Chinese",Quick Bites,150,3.8,124.0,Budget,Good,Moderately Popular,3.71,24.73,0.21016578580918663,0.379818504940819
Salad Days,Andheri,"Healthy Food,Beverages,Salad",Casual Dining,500,3.9,374.0,Budget,Good,Moderately Popular,3.83,7.66,0.19984970711160346,0.36115769024876127
